feature,importance,target,model
FS1_mean,0.0803778165010027,stable_flag,peecom
SE_mean,0.0702435055310812,stable_flag,peecom
PS4_min,0.0447411033883408,stable_flag,peecom
FS1_std,0.037541431322303,stable_flag,peecom
SE_std,0.0257350810780331,stable_flag,peecom
PS4_mean,0.025285067778807,stable_flag,peecom
PS5_min,0.0122434450595055,stable_flag,peecom
PS1_std,0.0117412151757926,stable_flag,peecom
PS6_mean,0.0113236857384528,stable_flag,peecom
PS2_std,0.0111716206326352,stable_flag,peecom
TS1_std,0.0107589477587546,stable_flag,peecom
PS2_mean,0.0106948460055075,stable_flag,peecom
TS1_mean,0.0105770446286864,stable_flag,peecom
PS5_mean,0.0093811393001218,stable_flag,peecom
EPS1_std,0.0093220923757785,stable_flag,peecom
TS4_mean,0.009249072875464,stable_flag,peecom
PS1_max,0.0089731720841766,stable_flag,peecom
PS5_max,0.0080743466497137,stable_flag,peecom
PS3_mean,0.0062913907332947,stable_flag,peecom
TS3_mean,0.0061520420544827,stable_flag,peecom
CE_mean,0.0059468202301965,stable_flag,peecom
TS2_mean,0.0053379196844371,stable_flag,peecom
PS6_min,0.0050361262600816,stable_flag,peecom
PS6_max,0.0044515514316779,stable_flag,peecom
TS3_std,0.0039470861725453,stable_flag,peecom
PS3_std,0.0038469907579331,stable_flag,peecom
PS2_max,0.0038034526575641,stable_flag,peecom
PS5_std,0.0036512529221918,stable_flag,peecom
PS4_std,0.0033806274207262,stable_flag,peecom
PS1_mean,0.0031247413864953,stable_flag,peecom
PS3_max,0.0030879601983024,stable_flag,peecom
FS2_mean,0.0029966660423656,stable_flag,peecom
CP_mean,0.0028265683223951,stable_flag,peecom
EPS1_mean,0.0027880333987593,stable_flag,peecom
TS2_std,0.0026609353269454,stable_flag,peecom
PS4_max,0.0022735469194979,stable_flag,peecom
TS4_std,0.0020536165253669,stable_flag,peecom
VS1_mean,0.0020200632336732,stable_flag,peecom
PS6_std,0.0020138908755689,stable_flag,peecom
FS2_std,0.0020067005884291,stable_flag,peecom
PS1_min,0.0019567986339338,stable_flag,peecom
VS1_std,0.0015390879531227,stable_flag,peecom
CE_std,0.0015064150923869,stable_flag,peecom
CP_std,0.0014116150955153,stable_flag,peecom
PS3_min,0.0,stable_flag,peecom
PS2_min,0.0,stable_flag,peecom
SE_mean,0.0832725220607858,stable_flag,random_forest
FS1_mean,0.0721121291542974,stable_flag,random_forest
PS4_mean,0.0679057924999225,stable_flag,random_forest
FS1_std,0.0626780637275018,stable_flag,random_forest
PS4_min,0.059725234813032,stable_flag,random_forest
SE_std,0.0485649286777312,stable_flag,random_forest
PS5_mean,0.0420754195765401,stable_flag,random_forest
TS4_mean,0.0414741613767875,stable_flag,random_forest
PS6_max,0.0370178422347866,stable_flag,random_forest
PS6_mean,0.0363124656829837,stable_flag,random_forest
PS2_std,0.033313130076056,stable_flag,random_forest
EPS1_std,0.0297725630773566,stable_flag,random_forest
EPS1_mean,0.0280435714920205,stable_flag,random_forest
PS1_std,0.0249451213414539,stable_flag,random_forest
PS2_mean,0.0245564386058388,stable_flag,random_forest
PS5_max,0.0227640723654153,stable_flag,random_forest
TS1_mean,0.0221996725291258,stable_flag,random_forest
TS1_std,0.0201790982596119,stable_flag,random_forest
PS1_max,0.0201747773002031,stable_flag,random_forest
PS1_mean,0.0176080927678908,stable_flag,random_forest
TS3_mean,0.0163359919051885,stable_flag,random_forest
TS2_mean,0.0155407076122209,stable_flag,random_forest
PS5_min,0.0154880431973054,stable_flag,random_forest
CE_mean,0.0153432762512102,stable_flag,random_forest
PS6_min,0.0129673899632653,stable_flag,random_forest
PS4_std,0.0128434724651095,stable_flag,random_forest
PS3_mean,0.0123769753205179,stable_flag,random_forest
FS2_mean,0.0122149956800352,stable_flag,random_forest
PS4_max,0.0110419098604443,stable_flag,random_forest
PS1_min,0.0099970589712808,stable_flag,random_forest
PS3_std,0.0095643543157389,stable_flag,random_forest
TS3_std,0.0090400729442214,stable_flag,random_forest
CP_mean,0.0086186857214682,stable_flag,random_forest
PS3_max,0.0068636782011114,stable_flag,random_forest
FS2_std,0.0051696111744416,stable_flag,random_forest
VS1_mean,0.0050729621438256,stable_flag,random_forest
TS2_std,0.0042049562263282,stable_flag,random_forest
PS5_std,0.0039593026553322,stable_flag,random_forest
TS4_std,0.0039482485814009,stable_flag,random_forest
PS6_std,0.0037842916961741,stable_flag,random_forest
CE_std,0.0033390799140945,stable_flag,random_forest
VS1_std,0.0027175702982613,stable_flag,random_forest
PS2_max,0.0025466585517316,stable_flag,random_forest
CP_std,0.0023256087299485,stable_flag,random_forest
PS3_min,0.0,stable_flag,random_forest
PS2_min,0.0,stable_flag,random_forest
PS2_std,0.0335659280603806,valve_condition,peecom
SE_mean,0.019445280226894,valve_condition,peecom
FS1_mean,0.0186712566451218,valve_condition,peecom
PS2_mean,0.0154135471277721,valve_condition,peecom
SE_std,0.0123001937102728,valve_condition,peecom
FS1_std,0.0083930019670944,valve_condition,peecom
PS1_std,0.007494746323608,valve_condition,peecom
EPS1_std,0.0063526534217212,valve_condition,peecom
PS4_min,0.0059730373882591,valve_condition,peecom
TS1_mean,0.0043689050395364,valve_condition,peecom
PS6_mean,0.0041878174833404,valve_condition,peecom
PS4_mean,0.003753019796224,valve_condition,peecom
TS4_mean,0.0035372829231603,valve_condition,peecom
FS2_mean,0.0027211355406281,valve_condition,peecom
TS3_mean,0.0024434310890874,valve_condition,peecom
CE_mean,0.0023570664886651,valve_condition,peecom
TS2_mean,0.0022931623511298,valve_condition,peecom
PS3_max,0.0022620736539328,valve_condition,peecom
PS1_mean,0.0020930201117973,valve_condition,peecom
TS1_std,0.0020673396849914,valve_condition,peecom
PS3_mean,0.0020093636727163,valve_condition,peecom
PS5_min,0.0019672931852853,valve_condition,peecom
PS3_std,0.0018976698351514,valve_condition,peecom
PS6_min,0.0018344646403358,valve_condition,peecom
PS1_min,0.0016927011906544,valve_condition,peecom
PS5_mean,0.0013063122283445,valve_condition,peecom
CP_mean,0.0012823959288616,valve_condition,peecom
EPS1_mean,0.0012666594651888,valve_condition,peecom
PS6_max,0.0012596111607428,valve_condition,peecom
TS2_std,0.0011953620471346,valve_condition,peecom
TS3_std,0.0010841189683753,valve_condition,peecom
TS4_std,0.0007821739065074,valve_condition,peecom
PS1_max,0.0007682831830346,valve_condition,peecom
VS1_mean,0.0007534126140867,valve_condition,peecom
PS4_max,0.0007512156398538,valve_condition,peecom
PS5_std,0.0007246212688771,valve_condition,peecom
PS5_max,0.0006834328170921,valve_condition,peecom
PS2_max,0.0006718754984943,valve_condition,peecom
CP_std,0.0006192851987139,valve_condition,peecom
FS2_std,0.0006089338967029,valve_condition,peecom
PS6_std,0.0005792572775794,valve_condition,peecom
PS4_std,0.0004620101523573,valve_condition,peecom
CE_std,0.000414907663562,valve_condition,peecom
VS1_std,0.00030266790198,valve_condition,peecom
PS3_min,0.0,valve_condition,peecom
PS2_min,0.0,valve_condition,peecom
PS2_std,0.1567796236419533,valve_condition,random_forest
PS2_mean,0.0860601878512586,valve_condition,random_forest
SE_mean,0.0786505773821696,valve_condition,random_forest
PS1_std,0.0693160007446068,valve_condition,random_forest
FS1_mean,0.0692877600615487,valve_condition,random_forest
FS1_std,0.0566834154711836,valve_condition,random_forest
SE_std,0.0527453978149726,valve_condition,random_forest
EPS1_std,0.04260945343421,valve_condition,random_forest
PS1_mean,0.0396471996899345,valve_condition,random_forest
PS4_min,0.0182302502974753,valve_condition,random_forest
EPS1_mean,0.0164740447300556,valve_condition,random_forest
PS3_mean,0.0159642085027137,valve_condition,random_forest
TS4_mean,0.0151829084312338,valve_condition,random_forest
PS6_mean,0.0151816926127884,valve_condition,random_forest
TS1_mean,0.0150963187103549,valve_condition,random_forest
TS2_mean,0.0148947671970117,valve_condition,random_forest
PS5_max,0.0147398865955917,valve_condition,random_forest
PS6_max,0.0145207129265204,valve_condition,random_forest
PS4_mean,0.0143819388002705,valve_condition,random_forest
TS3_mean,0.0133293366861987,valve_condition,random_forest
PS5_mean,0.0130357687162948,valve_condition,random_forest
PS3_std,0.0124354621081884,valve_condition,random_forest
PS1_min,0.0120511178358793,valve_condition,random_forest
VS1_mean,0.0107327765688137,valve_condition,random_forest
PS6_min,0.0102012595827201,valve_condition,random_forest
TS2_std,0.0097434052006511,valve_condition,random_forest
FS2_mean,0.0095918754303102,valve_condition,random_forest
PS5_min,0.0095212240245079,valve_condition,random_forest
TS1_std,0.0091514294446905,valve_condition,random_forest
PS1_max,0.0088069336437591,valve_condition,random_forest
PS4_std,0.0082752745998238,valve_condition,random_forest
PS2_max,0.0076729473452638,valve_condition,random_forest
CP_mean,0.0074239899903461,valve_condition,random_forest
TS3_std,0.007406981637756,valve_condition,random_forest
CE_mean,0.0067304676550376,valve_condition,random_forest
PS4_max,0.0049781825009917,valve_condition,random_forest
FS2_std,0.0048507700230372,valve_condition,random_forest
PS3_max,0.0048157211208038,valve_condition,random_forest
CE_std,0.0044867740672342,valve_condition,random_forest
PS5_std,0.0041263309205986,valve_condition,random_forest
PS6_std,0.0040404355546025,valve_condition,random_forest
CP_std,0.0034909106795217,valve_condition,random_forest
TS4_std,0.0033274502558441,valve_condition,random_forest
VS1_std,0.0033268295112692,valve_condition,random_forest
PS3_min,0.0,valve_condition,random_forest
PS2_min,0.0,valve_condition,random_forest
